Projected ID,Title,Category,Waiver Deadline At,Trade Deadline At,Championship At,Sports League Id,Overall Id,In Season Draft,Year
81,CFB,overall,2018-11-12 07:59:00,2018-11-12 07:59:00,2019-01-08 06:00:00,1,,false,2019
82,NFL,overall,2018-12-11 07:59:00,2018-12-11 07:59:00,2019-02-04 05:59:00,2,,false,2019
83,CBB,overall,2019-03-17 22:00:00,2019-03-21 06:59:00,2019-04-09 01:00:00,3,,false,2019
84,CH,overall,2019-03-24 06:59:00,2019-03-28 06:59:00,2019-04-13 01:00:00,4,,false,2019
85,KD,overall,2019-05-04 22:00:00,2019-05-04 22:00:00,2019-05-04 23:00:00,5,,true,2019
86,CL,overall,2018-12-14 07:59:00,2019-03-02 06:59:00,2019-06-01 19:00:00,6,,false,2019
87,CBS,overall,2019-06-10 06:59:59,2019-06-10 06:59:59,2019-06-27 02:00:00,17,,false,2019
88,NHL,overall,2019-04-01 06:59:00,2019-04-01 06:59:00,2019-06-16 07:00:00,7,,false,2019
89,NBA,overall,2019-04-01 06:59:00,2019-04-01 06:59:00,2019-06-30 07:00:00,8,,false,2019
90,PGA,overall,2019-07-15 06:59:59,2019-07-15 06:59:59,2019-07-21 19:00:00,9,,false,2019
91,WWC,overall,2019-06-17 06:59:00,2019-06-21 06:59:00,2019-07-17 17:00:00,16,,false,2019
92,LLWS,overall,2019-08-15 06:59:00,2019-08-15 06:59:00,2019-08-25 20:00:00,11,,true,2019
93,MTn,overall,2019-08-20 06:59:59,2019-08-20 06:59:59,2019-09-09 04:00:00,12,,false,2019
94,WTn,overall,2019-08-20 06:59:59,2019-08-20 06:59:59,2019-09-08 04:00:00,13,,false,2019
95,MLB,overall,2019-08-29 06:59:59,2019-08-29 06:59:59,2019-10-31 23:00:00,14,,false,2019
96,Masters,event,2019-04-08 06:59:59,2019-04-08 06:59:59,2019-04-14 23:00:00,9,90,false,2019
97,US Open (PGA),event,2019-05-13 06:59:00,2019-05-13 06:59:00,2019-05-19 23:00:00,9,90,false,2019
98,British Open,event,2019-06-10 06:59:59,2019-06-10 06:59:59,2019-06-16 23:00:00,9,90,false,2019
99,PGA,event,2019-07-15 06:59:59,2019-07-15 06:59:59,2019-07-21 19:00:00,9,90,false,2019
100,Australian Open (M),event,2019-01-08 06:59:59,2019-01-08 06:59:59,2019-01-27 13:00:00,12,93,false,2019
101,French Open (M),event,2019-05-21 06:59:59,2019-05-21 06:59:59,2019-06-09 17:00:00,12,93,false,2019
102,Wimbledon (M),event,2019-06-25 06:59:59,2019-06-25 06:59:59,2018-07-14 17:00:00,12,93,false,2019
103,US Open (M),event,2019-08-20 06:59:59,2019-08-20 06:59:59,2019-09-09 04:00:00,12,93,false,2019
104,Australian Open (W),event,2019-01-08 06:59:59,2019-01-08 06:59:59,2019-01-27 13:00:00,13,94,false,2019
105,French Open (W),event,2019-05-21 06:59:59,2019-05-21 06:59:59,2019-06-08 17:00:00,13,94,false,2019
106,Wimbledon (W),event,2019-06-25 06:59:59,2019-06-25 06:59:59,2018-07-13 17:00:00,13,94,false,2019
107,US Open (W),event,2019-08-20 06:59:59,2019-08-20 06:59:59,2019-09-08 04:00:00,13,94,false,2019
