Fantasy Team Id,Team Name,2017 Fantasy Team Id,User Id
68,Brown,31,4
69,The Consortium,32,45
69,,32,10
69,,32,7
70,Kintz/Mori,33,44
70,,33,21
71,Axel,34,3
72,BD,35,5
73,Bartch,36,19
74,Wilson,37,35
74,,37,20
75,Miller/Wernz,38,24
75,,38,11
76,FloPow,39,42
76,,39,37
77,G-Brew,40,30
77,,40,25
78,Davie/Paul,41,36
78,,41,27
79,Bro/Heli,42,34
79,,42,6
80,Jake,43,41
81,Zach,44,40
82,Vondy/Clark,45,22
82,,45,15
83,Adam/Mike,46,33
83,,46,56
84,Evan,47,31
85,Hughes,48,43
86,Sister-Sister,49,14
86,,49,8
87,Murphy's Law,50,13
88,Tim,51,38
89,Mike,52,12
89,,52,58
90,Riss/Ehrman,53,17
90,,53,9
91,Bailey,54,29
92,Nelson,55,23
93,Teeter,56,16
94,Mick/Jason,57,26
94,,57,18
95,Tom,58,32
98,Tom/Josh,61,52
98,,61,51
96,Danger 338,62,57
97,THE LIFE OF JASO,63,54
103,Mick/Jackson,64,18
99,Christian/Zach,65,55
100,Scotchy-Scotch,66,59
101,Cody,NA,69
102,Ryan/Aaron,60,53
102,,60,63
103,Mick/Jackson,NA,62
103,,NA,18
104,Ross,NA,64
105,Gavin/Sahil,NA,65
105,,NA,14
106,Zach Taylor,NA,66
107,Jim,NA,67
108,Marcus,NA,68
109,Matthius/Casey,NA,54
109,,NA,10
