Roster_Position_ID,Championship ID,Slot,Fantasy Team Id,Fantasy Player Id,Position
13,17,1,11,398,MTn
38,17,1,25,398,MTn
442,17,1,4,400,MTn
427,17,1,14,400,Unassigned
341,17,1,1,401,MTn
257,17,1,24,401,MTn
244,17,1,7,405,MTn
252,17,2,26,405,Flex5
511,17,3,5,407,Unassigned
313,17,2,5,410,Flex1
469,17,2,18,410,Flex3
170,17,1,5,412,MTn
297,17,2,11,412,Unassigned
159,17,1,9,413,MTn
142,17,1,10,413,MTn
187,17,1,18,418,MTn
225,17,1,21,418,MTn
150,17,1,15,420,MTn
123,17,1,17,420,MTn
458,17,2,21,421,Unassigned
386,17,1,23,421,MTn
1,17,1,12,422,MTn
11,17,1,27,422,MTn
224,17,2,13,424,Flex3
202,17,1,16,424,MTn
196,17,2,12,427,Flex3
195,17,1,13,427,MTn
35,17,1,3,428,MTn
74,17,1,26,428,MTn
246,17,1,6,429,MTn
235,17,1,28,429,MTn
192,22,1,15,432,WTn
179,22,1,27,432,WTn
22,22,1,9,437,WTn
45,22,1,19,437,WTn
446,22,3,2,438,Flex4
463,22,2,5,438,Flex4
348,22,1,16,439,WTn
325,22,1,20,439,WTn
507,22,4,2,440,Unassigned
400,22,2,22,440,Unassigned
423,22,1,18,442,WTn
406,22,1,24,442,WTn
99,22,1,4,445,WTn
144,22,1,14,445,WTn
131,22,1,11,449,WTn
172,22,2,13,449,Flex2
501,22,1,26,452,WTn
343,22,1,1,453,WTn
317,22,1,17,453,WTn
397,22,1,3,455,Unassigned
393,22,1,10,455,WTn
336,22,2,2,458,Flex2
321,22,1,28,458,WTn
3,22,1,8,463,WTn
31,22,1,13,463,WTn
148,22,1,2,464,WTn
169,22,1,22,464,WTn
351,22,1,25,466,WTn
496,22,1,6,468,Unassigned
314,22,1,21,468,WTn
421,22,1,5,469,WTn
437,22,2,18,469,Flex2
436,22,1,20,502,MTn
494,22,1,23,503,WTn
370,22,1,22,507,MTn
472,22,1,19,508,MTn
