Name,Abbrv,Waiver Deadline,Trade Deadline,Championship Date
College Football,CFB,2015-11-17 00:00:00,2015-11-17 00:00:00,2016-01-11 00:00:00
National Football League,NFL,2015-12-15 00:00:00,2015-12-15 00:00:00,2016-02-07 00:00:00
College Basketball,CBB,2016-03-15 00:00:00,2016-03-16 00:00:00,2016-04-04 00:00:00
College Hockey,CH,2016-03-19 00:00:00,2016-03-24 00:00:00,2016-04-09 00:00:00
Kentucky Derby,KD,2016-05-07 00:00:00,2016-05-07 00:00:00,2016-05-07 00:00:00
Champions League,CL,2015-12-10 00:00:00,2016-03-03 00:00:00,2016-05-28 00:00:00
National Hockey League,NHL,2016-03-27 00:00:00,2016-03-27 00:00:00,2016-06-07 00:00:00
National Basketball Association,NBA,2016-03-27 00:00:00,2016-03-27 00:00:00,2016-06-15 00:00:00
Professional Golf Association,PGA,2016-06-10 00:00:00,2016-07-08 00:00:00,2016-08-14 00:00:00
English Premier League,EPL,2016-06-10 00:00:00,2016-07-08 00:00:00,2016-08-14 00:00:00
Little League World Series,LLWS,2016-08-17 00:00:00,2016-08-17 00:00:00,2016-08-28 00:00:00
Men's Tennis,MTn,2016-05-15 00:00:00,2016-06-19 00:00:00,2016-08-21 00:00:00
Women's Tennis,WTn,2016-05-15 00:00:00,2016-06-19 00:00:00,2016-08-21 00:00:00
Major League Baseball,MLB,2016-08-28 00:00:00,2016-08-28 00:00:00,2016-10-31 00:00:00
