Proj ID,Title,Category,Waiver Deadline At,Trade Deadline At,Championship At,Sports League Id, Overall Id,In Season Draft,Year
55,CFB,overall,2018-11-13 07:59:00,2018-11-13 07:59:00,2018-01-08 08:00:00,1,,false,2018
56,NFL,overall,2018-12-12 07:59:00,2018-12-12 07:59:00,2018-02-05 07:59:00,2,,false,2018
57,CBB,overall,2018-03-11 22:00:00,2018-03-15 06:59:00,2018-04-02 07:00:00,3,,false,2018
58,CH,overall,2018-03-18 06:59:00,2018-03-22 06:59:00,2018-04-07 07:00:00,4,,false,2018
59,KD,overall,2018-05-05 22:00:00,2018-05-05 22:00:00,2018-05-05 23:00:00,5,,true,2018
60,CL,overall,2017-12-02 07:59:00,2018-03-02 19:59:00,2018-05-26 19:00:00,6,,false,2018
61,NHL,overall,2018-03-26 06:59:00,2018-03-26 06:59:00,2018-06-07 07:00:00,7,,false,2018
62,NBA,overall,2018-03-26 06:59:00,2018-03-26 06:59:00,2018-06-15 07:00:00,8,,false,2018
63,PGA,overall,2018-08-13 06:59:00,2018-08-13 06:59:00,2018-08-20 03:00:00,9,,false,2018
64,LLWS,overall,2018-08-15 06:59:00,2018-08-15 06:59:00,2018-08-26 22:00:00,11,,true,2018
65,MTn,overall,2018-08-20 06:59:00,2018-08-20 06:59:00,2018-09-10 04:00:00,12,,false,2018
66,WTn,overall,2018-08-20 06:59:00,2018-08-20 06:59:00,2018-09-09 04:00:00,13,,false,2018
67,MLB,overall,2018-08-27 06:59:00,2018-08-27 06:59:00,2018-10-31 07:00:00,14,,false,2018
68,WC,overall,2018-06-11 06:59:00,2018-06-30 06:59:00,2018-07-15 07:00:00,15,,false,2018
69,Australian Open (M),event,2018-01-09 07:59:00,2018-01-09 07:59:00,2018-11-13 07:59:00,12,65,false,2018
70,French Open (M),event,2018-05-20 18:59:00,2018-05-20 18:59:00,2018-06-10 19:00:00,12,65,false,2018
71,Wimbledon (M),event,2018-06-25 06:59:00,2018-06-25 06:59:00,2018-07-15 19:00:00,12,65,false,2018
72,US Open (M),event,2018-08-20 06:59:00,2018-08-20 06:59:00,2018-09-10 04:00:00,12,65,false,2018
73,Australian Open (W),event,2018-01-09 07:59:00,2018-01-09 07:59:00,2018-11-13 07:59:00,13,66,false,2018
74,French Open (W),event,2018-05-20 18:59:00,2018-05-20 18:59:00,2018-06-10 19:00:00,13,66,false,2018
75,Wimbledon (W),event,2018-06-25 06:59:00,2018-06-25 06:59:00,2018-07-15 19:00:00,13,66,false,2018
76,US Open (W),event,2018-08-20 06:59:00,2018-08-20 06:59:00,2018-09-10 04:00:00,13,66,false,2018
77,Masters,event,2018-04-02 06:59:00,2018-04-02 06:59:00,2018-04-09 01:00:00,9,63,false,2018
78,US Open (PGA),event,2018-06-11 06:59:00,2018-06-11 06:59:00,2018-06-18 01:00:00,9,63,false,2018
79,British Open,event,2018-07-16 06:59:00,2018-07-16 06:59:00,2018-07-22 19:00:00,9,63,false,2018
80,PGA,event,2018-08-13 06:59:00,2018-08-13 06:59:00,2018-08-20 03:00:00,9,63,false,2018
